iso3,country,yl,K,ky_ratio,hc,hc_bl,yr_sch,mining_va,governance,openness,social_infra,distancefromeq,fr_trade,english_frac,we_lang_frac,kapw_nonres
HTI,HAITI,2014.0,1816.173236,0.901774,1.342858,1.342858,2.2,0.001721,0.176111,0.0,0.088056,0.206111,20.44,0.0,0.0744,
HUN,HUNGARY,11304.0,33341.269265,2.949511,2.704941,2.704941,8.81,0.03244,0.734097,0.046512,0.390304,0.527778,26.92,0.0,0.0,
IDN,INDONESIA,4452.0,10167.053672,2.283705,1.541599,1.541599,3.23,0.100829,0.384861,0.511628,0.448245,0.068667,4.47,0.0,0.0,
IND,INDIA,3097.0,1397.672835,0.451299,1.377486,1.377486,2.39,0.031196,0.525694,0.0,0.262847,0.317778,3.29,0.0,0.0,1397.672835
IRL,IRELAND,20629.0,13896.540625,0.673641,2.787095,2.787095,9.25,0.003509,0.828403,0.627907,0.728155,0.592556,33.85,0.7626,0.7626,13896.540625
IRN,IRAN,10890.0,6322.54522,0.580583,1.537473,1.537473,3.21,0.103973,0.476944,0.0,0.238472,0.396444,10.06,0.0,0.004199,6322.54522
ISL,ICELAND,25502.0,8496.285075,0.333162,2.54966,2.54966,7.96,0.002558,0.925139,0.0,0.462569,0.712556,33.08,0.0,0.0,8496.285075
ISR,ISRAEL,23496.0,10842.266862,0.461452,3.015845,3.015845,10.41,0.0,0.694375,0.162791,0.428583,0.353111,54.17,0.011175,0.0178,10842.266862
ITA,ITALY,29623.0,16779.202355,0.566425,2.242721,2.242721,6.69,0.006217,0.697153,0.790698,0.743925,0.465556,13.97,0.0,0.019098,16779.202355
JAM,JAMAICA,5046.0,2140.93894,0.424284,2.056139,2.056139,5.83,0.071261,0.494861,0.348837,0.421849,0.2,22.19,0.7872,0.7872,2140.93894
JOR,JORDAN,15299.0,29934.740877,1.956647,1.721283,1.721283,4.07,0.061923,0.541528,1.0,0.770764,0.355,68.18,0.0,0.0098,
JPN,JAPAN,20873.0,25756.815549,1.233978,2.787095,2.787095,9.25,0.002426,0.855417,0.72093,0.788173,0.396444,5.47,0.0,0.0,25756.815549
KEN,KENYA,2002.0,616.234727,0.30781,1.512948,1.512948,3.09,0.00793,0.565972,0.116279,0.341126,0.014222,12.48,0.0,0.0,616.234727
KNA,ST.KITTS&NEVIS,96.75,327.362407,3.383591,,,,0.0,,0.0,,,,0.6396,0.6396,
KOR,"KOREA, REP.",13584.0,11512.171254,0.84748,2.570447,2.570447,8.06,0.006779,0.594514,0.55814,0.576327,0.417222,14.36,0.0,0.0,11512.171254
KWT,KUWAIT,30009.0,108351.389516,3.61063,1.943072,1.943072,5.27,0.391288,0.467222,0.0,0.233611,0.326333,42.55,0.0,0.0098,
LAO,LAOS,2547.0,1107.203338,0.434709,1.401692,1.401692,2.52,0.0,,0.0,,0.199667,27.32,0.0,0.0,
LKA,SRI LANKA,5553.0,7204.837838,1.297468,2.297749,2.297749,6.93,0.02862,0.444861,0.325581,0.385221,0.076889,13.94,0.0,0.0,7204.837838
LSO,LESOTHO,2241.0,152.1,0.067871,1.729998,1.729998,4.12,0.002184,,0.0,,0.325778,20.66,,,152.1
LUX,LUXEMBOURG,35050.0,34932.496167,0.996648,2.662965,2.662965,8.58,0.002,0.978333,0.0,0.489167,0.551333,281.29,,,34932.496167
MAR,MOROCCO,6824.0,1481.043362,0.217034,1.242443,1.242443,1.62,0.025323,0.507222,0.395349,0.451286,0.378,12.71,0.0,0.0075,1481.043362
MDG,MADAGASCAR,1560.0,1366.390428,0.875891,,,,0.017638,0.525417,0.0,0.262708,0.210222,9.9,0.0,0.0,1366.390428
MEX,MEXICO,15847.0,7997.846702,0.504692,1.852989,1.852989,4.8,0.103202,0.522778,0.139535,0.331156,0.215889,4.52,0.138,0.8188,7997.846702
MLI,MALI,1245.0,1216.28014,0.976932,1.075042,1.075042,0.54,0.001026,0.276528,0.046512,0.16152,0.140556,12.8,0.0,0.0,
MLT,MALTA,17021.0,35727.683055,2.099035,2.378024,2.378024,7.27,0.0,0.5875,0.0,0.29375,0.398889,98.14,0.0,0.0,
MMR,MYANMAR,1027.0,1397.345707,1.360609,1.353698,1.353698,2.26,0.006818,0.260556,0.0,0.130278,0.186667,10.74,,,
MNG,MONGOLIA,4014.0,30558.749516,7.613042,2.254076,2.254076,6.74,0.125764,0.449444,0.0,0.224722,0.532444,13.52,,,
MOZ,MOZAMBIQUE,1509.0,80.08,0.053068,1.117641,1.117641,0.83,0.001676,0.484861,0.0,0.242431,0.288556,11.11,0.0,0.07,80.08
MRT,MAURITANIA,1915.0,114.08,0.059572,1.305596,1.305596,1.99,0.107561,,0.0,,0.200778,23.44,0.0,0.0093,114.08
MUS,MAURITIUS,9279.0,1785.852399,0.192462,1.858612,1.858612,4.83,0.001094,,0.581395,,0.223889,31.11,0.0,0.0372,1785.852399
MWI,MALAWI,1140.0,335.942993,0.294687,1.321437,1.321437,2.08,0.013922,0.38125,0.0,0.190625,0.155222,12.67,0.0164,0.0164,335.942993
MYS,MALAYSIA,10557.0,31458.998607,2.979918,1.984724,1.984724,5.48,0.116625,0.646806,0.697674,0.67224,0.035,16.82,0.0082,0.0082,
NAM,NAMIBIA,9208.0,33076.398364,3.592137,1.864252,1.864252,4.86,0.161477,0.665867,0.0,0.332934,0.250778,21.31,,,
NER,NIGER,1094.0,1597.877504,1.460583,1.076484,1.076484,0.55,0.070391,0.502361,0.0,0.251181,0.150222,12.37,0.0,0.0,
