iso3,country,yl_adj,ky_ratio,hc,social_infra,si_was_imputed,distancefromeq,fr_trade,english_frac,we_lang_frac
ESP,Spain,94694.92414347938,3.236002,3.201822,0.739727,False,0.448889,12.38,0.1335,0.1335
FIN,Finland,92511.89648564291,3.687554,3.234648,0.838764,False,0.668556,21.64,0.0,0.0
FJI,Fiji,39446.764837376904,1.91427,3.09479,0.5401061505496663,True,0.201444,18.56,0.0082,0.0082
FRA,France,103190.04282752065,3.282049,3.292345,0.736366,False,0.543,15.26,0.0015,0.009098
GAB,Gabon,33215.695848266485,2.263097,2.736391,0.465199,False,0.004333,30.65,0.0,0.0279
GBR,United Kingdom,90650.971454,2.923281,3.538419,0.81672,False,0.572222,13.47,0.7544,0.7544
GHA,Ghana,10658.881751302702,2.458158,2.300071,0.625935,False,0.061667,18.87,0.0,0.0
GMB,Gambia,8175.964455367641,1.381928,1.579234,0.562221,False,0.149444,52.2,0.0,0.0
GRC,Greece,66955.64825556926,3.493665,3.296825,0.681048,False,0.422,27.01,0.0,0.0
GTM,Guatemala,19117.34054493027,1.611453,1.888891,0.581983,False,0.162444,22.04,0.0975,0.5785
GUY,Guyana,31288.97084300336,2.253455,2.547086,0.609627,False,0.075556,25.92,0.7134,0.7134
HKG,"China, Hong Kong SAR",105485.445264,3.358718,3.39234,0.789137,False,0.247556,35.88,0.0246,0.0246
HND,Honduras,13699.996643799192,2.312147,2.186802,0.567521,False,0.156667,27.58,0.1455,0.8633
HTI,Haiti,3853.019895935779,3.878643,1.939151,0.453261,False,0.206111,20.44,0.0,0.0744
HUN,Hungary,59925.974074388716,2.854896,3.364771,0.692507,False,0.527778,26.92,0.0,0.0
IDN,Indonesia,21907.773014691626,2.720439,2.582712,0.560892,False,0.068667,4.47,0.0,0.0
IND,India,17989.53195792533,2.411304,2.233679,0.639075,False,0.317778,3.29,0.0,0.0
IRL,Ireland,221169.79258723208,2.771338,3.815837,0.826563,False,0.592556,33.85,0.7626,0.7626
IRN,Iran (Islamic Republic of),39203.090483588254,3.857366,2.72525,0.474789,False,0.396444,10.06,0.0,0.004199
IRQ,Iraq,28595.41905010786,1.760204,2.446235,0.480633,False,0.370333,19.14,0.0,0.0064
ISL,Iceland,93339.16330874879,3.264278,3.552885,0.804068,False,0.712556,33.08,0.0,0.0
ISR,Israel,77690.245415,2.902354,3.459901,0.764252,False,0.353111,54.17,0.011175,0.0178
ITA,Italy,96091.10952507691,3.447301,3.165022,0.659387,False,0.465556,13.97,0.0,0.019098
JAM,Jamaica,19290.124312869182,2.543451,2.897244,0.66312,False,0.2,22.19,0.7872,0.7872
JOR,Jordan,43335.33546425586,2.19647,2.997444,0.642666,False,0.355,68.18,0.0,0.0098
JPN,Japan,71937.08470694063,3.970159,3.524012,0.790673,False,0.396444,5.47,0.0,0.0
KEN,Kenya,8811.2644672902,1.225942,2.156098,0.577066,False,0.014222,12.48,0.0,0.0
KOR,Republic of Korea,80597.53806579193,3.890829,3.698325,0.723292,False,0.417222,14.36,0.0,0.0
KWT,Kuwait,62308.65657745306,2.675061,2.204542,0.580584,False,0.326333,42.55,0.0,0.0098
LAO,Lao People's DR,15028.190002,2.017983,1.896538,0.5502263918394319,True,0.199667,27.32,0.0,0.0
LBR,Liberia,3162.18466642574,2.286796,1.803141,0.493107,False,0.07,29.81,0.1312,0.1312
LKA,Sri Lanka,33705.95439926299,2.153248,2.911068,0.580896,False,0.076889,13.94,0.0,0.0
MAR,Morocco,24425.8170529592,3.453654,1.964779,0.629999,False,0.378,12.71,0.0,0.0075
MEX,Mexico,41664.34856826869,2.393863,2.787095,0.602303,False,0.215889,4.52,0.138,0.8188
MLI,Mali,7779.632964178143,1.272492,1.28477,0.479357,False,0.140556,12.8,0.0,0.0
MLT,Malta,77818.558989,2.724177,3.234648,0.745238,False,0.398889,98.14,0.0,0.0
MOZ,Mozambique,2969.587579867175,3.140073,1.324983,0.54944,False,0.288556,11.11,0.0,0.07
MRT,Mauritania,16992.90927126074,2.528916,1.777824,0.5451035093048673,True,0.200778,23.44,0.0,0.0093
MUS,Mauritius,50933.448066779325,2.097218,2.800394,0.5617459823245996,True,0.223889,31.11,0.0,0.0372
MWI,Malawi,2695.130375837046,1.969418,1.785021,0.541177,False,0.155222,12.67,0.0164,0.0164
MYS,Malaysia,49279.07254404172,2.605914,3.154279,0.69248,False,0.035,16.82,0.0082,0.0082
NER,Niger,2963.892367412984,2.099196,1.257518,0.492066,False,0.150222,12.37,0.0,0.0
NIC,Nicaragua,12023.439651598912,2.651863,2.240457,0.542747,False,0.134778,23.46,0.1305,0.7743
NLD,Netherlands,99138.28459652037,3.045077,3.362484,0.809376,False,0.581889,35.84,0.0,0.0
NOR,Norway,109491.22918375884,3.276491,3.44113,0.816492,False,0.665778,23.54,0.0,0.0
NPL,Nepal,6596.03402804628,2.372308,1.804963,0.5648981539537733,True,0.308,13.26,0.0,0.0
NZL,New Zealand,78425.3675701416,2.540779,3.165022,0.900613,False,0.458889,8.19,0.803895,0.803895
PAK,Pakistan,16876.02795169901,1.149276,1.927435,0.547232,False,0.374111,8.04,0.0,0.0
PAN,Panama,64745.7849448245,2.548094,2.938914,0.63955,False,0.099667,23.56,0.1155,0.6853
PER,Peru,21295.093356396355,2.183786,2.838739,0.618644,False,0.133889,7.03,0.12,0.712
PHL,Philippines,21349.872158217564,1.783151,2.730815,0.641357,False,0.162222,8.84,0.0328,0.0328
POL,Poland,73713.94571761823,1.912524,3.390034,0.700935,False,0.580556,13.84,0.0,0.0098
PRT,Portugal,65307.001731230244,3.272329,2.738253,0.705876,False,0.430222,18.78,0.0,0.0
PRY,Paraguay,25748.31410332335,1.930692,2.589747,0.509464,False,0.280889,10.43,0.009,0.07
QAT,Qatar,100001.50299132125,4.150104,2.625208,0.644538,False,0.280889,69.56,0.0,0.0084
ROU,Romania,61735.300860949406,2.287257,3.188785,0.615042,False,0.493667,18.8,0.0,0.0
RWA,Rwanda,5310.70471106272,1.220758,1.596255,0.5343894573398724,True,0.021667,26.2,0.0,0.0
SAU,Saudi Arabia,90368.52378494656,2.999324,2.721546,0.582641,False,0.274222,14.98,0.0,0.0089
SDN,Sudan,17148.14526062668,1.316794,1.624305,0.356747,False,0.172778,10.97,0.0,0.0041
SEN,Senegal,8342.823096302833,2.133899,1.488814,0.531584,False,0.163556,19.87,0.0,0.0
SGP,Singapore,127116.554883,3.299756,3.443471,0.784919,False,0.014333,48.9,0.1148,0.1148
SLE,Sierra Leone,5642.954480011527,0.881658,1.577119,0.478766,False,0.094222,27.81,0.0656,0.0656
SLV,El Salvador,17361.15629654034,1.489541,2.438834,0.60541,False,0.152222,28.91,0.15,0.89
SWE,Sweden,104560.30802441221,3.387058,3.406209,0.81802,False,0.659222,18.22,0.0015,0.0089
SYR,Syrian Arab Republic,20291.750023703957,1.153956,2.323419,0.381446,False,0.372222,37.44,0.0,0.0092
TGO,Togo,5552.536345174083,1.484739,2.029318,0.46972,False,0.068111,41.47,0.0,0.0
THA,Thailand,30913.66312244912,2.503269,2.579202,0.594304,False,0.152778,9.45,0.0,0.0
TTO,Trinidad and Tobago,55869.78761254796,2.104786,3.103219,0.619955,False,0.118333,30.33,0.7216,0.7216
TUN,Tunisia,33868.37237459893,2.171814,2.559981,0.567602,False,0.409111,23.83,0.0,0.0099
TUR,Turkey,79149.70145877262,2.773273,2.531697,0.581221,False,0.443667,11.26,0.0,0.018698
TWN,Taiwan,95946.065217,2.798151,3.408526,0.708222,False,0.278333,17.92,0.0,0.0
TZA,U.R. of Tanzania: Mainland,5618.329198,2.478053,2.045782,0.608583,False,0.068556,10.97,0.0,0.0001
UGA,Uganda,5955.0551037832,1.599519,2.119394,0.572665,False,0.003667,12.97,0.0,0.0
URY,Uruguay,43290.2194257447,2.335783,2.703102,0.649384,False,0.387222,17.07,0.1455,0.8633
USA,United States,127915.48391991174,2.867879,3.746417,0.851712,False,0.432222,2.56,0.7544,0.1335
VEN,Venezuela (Bolivarian Republic of),612.268012,126.709906,2.708622,0.284494,False,0.116444,8.94,0.1455,0.8633
YEM,Yemen,9001.202989162784,2.795457,1.619958,0.382173,False,0.170556,16.83,0.0,0.0095
ZAF,South Africa,36192.60142937864,2.349073,2.950929,0.586344,False,0.285889,8.9,0.0656,0.0656
ZMB,Zambia,9104.447893009126,2.94823,2.307051,0.532191,False,0.171333,13.81,0.0082,0.0082
ZWE,Zimbabwe,5608.000859326815,1.991469,2.541946,0.419746,False,0.198,11.27,0.0164,0.0164
